ID,LAT,LONG
05458X0003/PAEP,46.89046462,2.082400148
05472X0029/P,46.94207275,2.651488358
05473X0036/P,46.90703476,2.715222107
05654X0017/P,46.77740011,-0.083492839
05654X0018/P,46.72926605,-0.026620717
05662X0005/S,46.72631519,0.174285798
05662X0011/S,46.72587048,0.174565357
05662X0073/S,46.76317418,0.101953968
05664X0048/P,46.79498048,0.319350711
05664X0064/S6,46.72184604,0.273269327
05666X0006/P,46.67498745,0.173964798
05667X0017/29,46.71530976,0.154685478
05687X0040/P,46.67429121,0.985104548
05695X0050/F,46.62917914,1.171335264
05696X0002/FAEP,46.70107148,1.214553523
05914X0007/PAEP,46.56204356,1.074823581
06121X0001/S,46.42047679,0.040694792
06123X0044/S,46.3866664,0.194299344
06124X0026/F,46.41732322,0.314378002
06131X0035/DAUFFA,46.35516437,0.419095643
06135X0049/S,46.33287686,0.385593942
00115X0011/P1,50.58610468,1.872798025
00198X0123/P1,50.42496719,2.822013306
00254X0037/PZ1,50.35691045,2.498364304
00331X0051/F.SEP,50.18778531,1.831463716
00338X0014/P,50.11211529,2.154731212
00341X0050/PZ1,50.14491758,2.231871335
00347X0002/P,50.04329442,2.362176792
00358X0216/PIEZO,50.05107563,2.806844051
00443X0042/S1,49.97013074,1.676823707
00484X0018/S1,49.98788001,3.222879736
00491X0013/P,49.96789873,3.315136877
00497X0018/S1,49.93799308,3.451995592
00502X0003/S1,49.99512733,3.77409039
00755X0006/S1,49.55552706,0.419809839
00773X0002/S1,49.60431437,1.279582812
00775X0099/F14,49.56256495,1.163091306
00862X0005/S1,49.60158755,4.420886091
01008X0018/S1,49.39155817,1.34897345
01046X0010/S1,49.3829154,2.614679469
01064X0054/P,49.45207622,3.536014137
01252X0011/S1,49.29995576,1.536148947
01261X0044/S1,49.307334,1.823515889
01293X0048/S1,49.30100855,3.099969131
01308X0082/S1,49.20291799,3.513218977
01463X0103/S1,49.05462276,-0.134353453
01522X0069/PZ2008,49.08384644,1.897575713
01543X0028/S1,49.06309012,2.737747227
02267X0030/S1,48.65442933,4.876212285
02545X0048/FAEP,48.48025908,1.161109253
02548X0005/PFAEP,48.46804822,1.362589993
02615X0020/S1,48.490061,3.619649
02706X0074/S77-20,48.43954631,6.93027724
02908X0010/PFAEP,48.27657333,1.42016059
02913X0024/P,48.40158549,1.640478779
02974X0004/S1,48.35875758,3.873877922
03057X0018/F,48.24203559,6.671222298
03244X0020/F,48.2141961,1.026271091
03336X0001/S1,48.14739864,4.095606574
03593X0055/PZ,47.97150132,0.543302537
03614X0001/PAEP,48.03995607,1.469975903
03618X0098/F,47.93193815,1.359903845
03631X0099/F,47.97739527,1.857576585
03651X0107/P,47.98906436,2.550855549
03745X0021/P1,47.94981885,5.759766305
03928X0026/PZ,47.76375163,-0.022459127
03936X0056/PZ,47.73959824,0.136412631
03963X0083/F,47.81822402,1.264252163
04004X0007/F,47.87950331,2.812385662
04286X0001/FAEP1,47.57863019,1.215619859
04332X0008/S,47.68387647,2.994491185
04336X0007/FORAGE,47.53709765,3.011816948
04398X0002/SONDAG,47.5288405,5.324241521
04578X0102/FAEP,47.39265557,0.688265541
04628X0003/FAEP,47.36338458,2.432985957
04862X0003/FAEP,47.28203334,0.168353793
04894X0016/PZ,47.25836496,1.400354635
04926X0001/FAEP,47.22621646,2.323055528
04934X0043/P,47.26110972,2.794881719
05156X0011/P,47.06808832,0.846013211
05203X0083/P,47.0725033,2.759903029
05422X0015/F,46.94815081,0.874169816
05432X0003/F,46.91433227,1.16104221
05445X0081/P1,46.84225525,1.441728424
05463X0029/P,46.92571134,2.408577533
05471X0070/P1,46.96146895,2.589382468
05665X0003/S,46.6620747,0.064167278
05891X0044/F,46.618606,0.075415977
05896X0058/CAGNOC,46.50634689,0.164141246
05905X0047/F2,46.4819851,0.370726227
00332X0007/S1,50.18533202,1.946938683
00335X0005/S1,50.06502369,1.80711066
00387X0184/PZCC1,50.10949453,3.794037727
